# This file is generated by MACS
# ARGUMENTS LIST:
# name = s96a
# format = ELAND
# ChIP-seq file = S96ChIPu_eland_result_unique.txt
# control file = S96inputu_eland_result_unique.txt
# effective genome size = 1.20e+07
# tag size = 24
# band width = 15
# model fold = 4
# pvalue cutoff = 1.00e-05
# Ranges for calculating regional lambda are : peak_region,250,500,2500
# unique tags in treatment: 2288896
# total tags in treatment: 2347114
# unique tags in control: 1111480
# total tags in control: 1111480
# d = 23
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
chr07.fs	707830	707885	56	27	29	55.68	5.70	2.32
chr07.fs	708144	708198	55	29	33	76.50	5.93	2.45
chr07.fs	708273	708341	69	33	44	64.57	4.21	2.45
chr07.fs	708350	708412	63	35	33	63.39	5.47	2.43
chr07.fs	709326	709382	57	31	29	54.24	4.10	2.30
chr07.fs	709711	709765	55	29	29	57.16	6.15	2.27
chr07.fs	710189	710251	63	33	34	72.67	4.79	2.55
chr07.fs	710892	711131	240	134	164	70.06	2.68	2.48
chr07.fs	712049	712105	57	31	39	104.79	6.61	2.22
chr07.fs	712528	712827	300	73	218	331.55	3.86	1.59
chr07.fs	731071	731160	90	61	44	51.89	3.28	2.32
chr07.fs	735770	736014	245	167	264	1064.48	9.35	0.67
chr07.fs	736294	736370	77	34	69	126.68	4.34	2.36
chr07.fs	736398	737176	779	85	562	876.46	4.51	0.55
chr07.fs	738976	739151	176	98	124	139.43	3.45	2.19
chr07.fs	739184	739381	198	34	127	67.29	3.16	2.42
chr07.fs	754841	755250	410	190	317	648.46	6.69	1.21
chr07.fs	766229	766520	292	78	153	226.50	5.67	1.85
chr07.fs	772010	772261	252	114	124	157.26	3.98	2.03
chr07.fs	774272	774376	105	58	52	72.58	4.58	2.54
chr07.fs	774414	774607	194	73	127	105.02	3.20	2.23
chr07.fs	779666	779814	149	34	77	121.89	4.43	2.44
chr07.fs	788341	788681	341	214	257	320.54	4.14	1.52
chr07.fs	823370	823505	136	101	98	178.83	5.62	1.96
chr07.fs	828661	828738	78	56	38	62.48	4.74	2.41
chr07.fs	828792	828869	78	22	35	52.10	3.65	2.32
chr07.fs	838792	839221	430	234	333	957.89	7.07	0.61
chr07.fs	843537	843723	187	107	96	118.91	3.20	2.39
chr07.fs	845096	845567	472	230	442	1322.82	6.70	0.00
chr07.fs	845577	845672	96	60	83	206.16	5.81	1.96
chr07.fs	845699	845886	188	60	128	135.77	3.42	2.29
chr07.fs	857484	857646	163	29	84	78.77	2.95	2.50
chr07.fs	859112	859258	147	124	59	52.50	3.26	2.33
chr07.fs	876324	876414	91	62	44	76.37	4.10	2.43
chr07.fs	877729	877962	234	73	113	76.05	3.06	2.43
chr07.fs	877965	878733	769	377	766	2364.60	6.88	0.00
chr07.fs	878808	879003	196	31	119	69.66	2.92	2.46
chr07.fs	882553	882837	285	252	168	232.03	3.59	1.89
chr07.fs	882861	883065	205	130	160	231.50	3.89	1.89
chr07.fs	883441	883789	349	170	279	148.53	2.82	2.12
chr07.fs	883802	884228	427	22	257	191.58	3.29	1.88
chr07.fs	902022	902196	175	53	91	139.80	4.52	2.20
chr07.fs	912465	912668	204	150	98	69.91	3.10	2.47
chr07.fs	931011	931114	104	24	54	101.70	4.79	2.19
chr07.fs	936242	936541	300	104	187	328.05	4.50	1.56
chr07.fs	939203	939317	115	50	52	78.54	5.01	2.48
chr07.fs	958189	959094	906	325	1011	3100.00	8.62	0.00
chr07.fs	959115	959411	297	50	150	100.19	2.48	2.18
chr07.fs	987259	987419	161	109	73	71.78	3.84	2.52
chr07.fs	987433	987669	237	96	137	174.29	3.97	1.94
chr07.fs	1000136	1000938	803	491	685	890.97	4.54	0.56
chr07.fs	1016884	1017424	541	234	511	842.48	4.40	0.54
chr07.fs	1025629	1026405	777	257	583	829.24	4.54	0.53
chr07.fs	1045187	1045362	176	100	85	131.10	3.65	2.25
chr07.fs	1066898	1067133	236	96	125	164.51	3.91	1.91
chr07.fs	1078357	1078488	132	104	66	110.01	5.93	2.30
chr07.fs	1078816	1078894	79	46	38	67.07	4.10	2.42
chr08.fs	7969	8360	392	220	373	1268.79	6.73	0.83
chr08.fs	34622	35022	401	103	248	110.15	2.56	2.30
chr08.fs	48163	48550	388	244	229	119.76	2.95	2.41
chr08.fs	114967	115531	565	293	434	1186.22	7.23	0.77
chr08.fs	115904	116117	214	143	125	146.81	3.68	2.10
chr08.fs	116149	116273	125	34	71	119.92	4.47	2.42
chr08.fs	122161	122533	373	192	217	136.73	2.77	2.16
chr08.fs	134196	134327	132	96	61	87.75	3.74	2.38
chr08.fs	144196	146248	2053	1980	1748	1639.54	3.51	0.00
chr08.fs	146280	146402	123	31	108	205.89	5.48	1.96
chr08.fs	146643	147044	402	248	324	755.09	5.41	0.94
chr08.fs	147164	147304	141	85	67	80.02	4.11	2.40
chr08.fs	147465	147638	174	46	89	82.57	2.97	2.42
chr08.fs	163982	164109	128	49	59	75.07	3.59	2.49
chr08.fs	174953	175402	450	232	315	320.50	3.69	1.52
chr08.fs	179716	179884	169	110	84	105.77	3.17	2.24
chr08.fs	207135	207512	378	143	205	289.55	4.92	1.41
chr08.fs	220094	220433	340	291	195	365.36	4.70	1.68
chr08.fs	220528	220945	418	146	309	786.49	5.60	0.99
chr08.fs	262543	262809	267	96	161	323.10	6.60	1.53
chr08.fs	264038	264372	335	181	227	555.72	6.38	1.11
chr08.fs	272437	274400	1964	1301	2179	3100.00	5.98	0.00
chr08.fs	276089	276216	128	73	61	51.05	2.87	2.39
chr08.fs	358252	358369	118	63	57	95.05	5.24	2.24
chr08.fs	358401	358501	101	66	43	60.24	3.42	2.36
chr08.fs	358563	358645	83	23	38	61.89	4.10	2.40
chr08.fs	375290	375714	425	238	336	634.61	4.38	1.20
chr08.fs	381700	381959	260	64	142	142.15	3.30	2.22
chr08.fs	383036	383232	197	147	95	124.18	4.06	2.47
chr08.fs	385728	386477	750	602	436	180.73	2.46	1.98
chr08.fs	401060	401496	437	184	355	730.32	5.70	0.91
chr08.fs	411413	411516	104	42	45	60.07	4.17	2.35
chr08.fs	431995	432573	579	338	467	1330.94	7.07	0.00
chr08.fs	451403	451750	348	290	252	208.52	2.80	1.98
chr08.fs	452094	452198	105	84	67	128.83	4.40	2.38
chr08.fs	452249	452396	148	119	103	66.27	2.69	2.50
chr08.fs	466497	466613	117	81	64	93.27	4.13	2.22
chr08.fs	466648	467234	587	274	604	1318.00	5.83	0.00
chr08.fs	475562	475731	170	132	109	133.03	4.07	2.26
chr08.fs	475751	475940	190	32	128	206.58	5.11	1.96
chr08.fs	508411	509318	908	662	749	1828.58	7.33	0.00
chr08.fs	548694	548747	54	26	27	54.11	5.24	2.29
chr09.fs	20560	20636	77	41	41	57.03	3.97	2.26
chr09.fs	20669	20918	250	173	312	1198.81	7.54	0.78
chr09.fs	21037	21104	68	31	49	137.53	6.15	2.16
chr09.fs	21712	21788	77	30	52	87.41	4.23	2.37
chr09.fs	23618	24199	582	517	417	169.01	2.57	1.92
chr09.fs	24966	25405	440	297	276	162.64	2.86	1.90
chr09.fs	84930	85110	181	106	85	88.51	3.12	2.28
chr09.fs	127649	128104	456	188	382	608.94	4.58	1.17
chr09.fs	138184	138976	793	313	634	1872.37	6.84	0.00
chr09.fs	141202	141469	268	56	140	143.45	3.17	2.23
chr09.fs	141533	142100	568	315	521	1751.46	8.76	0.00
chr09.fs	174869	175049	181	154	132	108.28	3.14	2.27
chr09.fs	175084	175541	458	226	398	829.17	4.61	0.53
chr09.fs	197508	197607	100	72	54	107.84	4.79	2.26
chr09.fs	204540	204633	94	38	39	53.11	3.42	2.36
chr09.fs	204809	205242	434	349	398	1208.94	7.94	0.78
chr09.fs	205752	205806	55	28	41	121.04	7.52	2.43
chr09.fs	205846	205903	58	29	31	61.79	5.70	2.39
chr09.fs	205909	205966	58	29	38	97.13	7.07	2.15
chr09.fs	206163	206218	56	26	35	69.85	4.73	2.47
chr09.fs	206368	206430	63	34	38	67.47	4.94	2.43
chr09.fs	206503	206560	58	31	31	61.79	5.24	2.39
chr09.fs	206770	206826	57	30	32	68.09	5.47	2.44
chr09.fs	207041	207122	82	34	56	137.18	5.41	2.16
chr09.fs	208989	209391	403	129	269	59.48	2.59	2.34
chr09.fs	210036	210119	84	56	39	64.70	6.38	2.46
chr09.fs	210144	210200	57	27	39	57.83	4.06	2.28
chr09.fs	210621	210688	68	39	55	174.10	7.07	1.94
chr09.fs	210717	210877	161	96	102	94.55	2.99	2.22
chr09.fs	214481	214635	155	49	76	78.69	3.28	2.49
chr09.fs	237540	237802	263	109	141	195.60	4.73	1.90
chr09.fs	248688	248872	185	146	127	149.80	4.46	1.96
chr09.fs	248910	249408	499	237	390	762.43	4.76	0.96
chr09.fs	267800	268238	439	175	348	409.06	3.97	1.79
chr09.fs	283421	283706	286	170	139	148.35	3.40	2.12
chr09.fs	284486	285504	1019	664	930	2786.29	8.18	0.00
chr09.fs	293782	293904	123	47	61	105.25	5.01	2.23
chr09.fs	321248	324320	3073	858	3238	3100.00	4.57	0.00
chr09.fs	324345	324940	596	33	683	1579.44	5.63	0.00
chr09.fs	324952	325138	187	26	130	217.39	4.38	1.81
chr09.fs	325144	325769	626	561	543	1328.36	6.88	0.00
chr09.fs	325806	325934	129	24	81	158.36	4.87	2.04
chr09.fs	336186	336361	176	137	105	141.61	3.75	2.21
chr09.fs	336397	336490	94	44	47	63.72	3.77	2.44
chr09.fs	371270	371575	306	239	184	323.88	5.48	1.54
chr09.fs	376509	376607	99	37	44	66.30	3.65	2.50
chr09.fs	386253	387027	775	316	857	2792.98	6.89	0.00
chr09.fs	387263	387613	351	57	191	259.77	3.90	1.55
chr09.fs	394818	395032	215	132	110	183.95	4.10	2.00
chr09.fs	395140	395251	112	63	52	66.59	3.45	2.41
chr10.fs	32284	32791	508	214	372	474.89	3.80	1.33
chr10.fs	59156	59273	118	29	61	59.49	3.32	2.34
chr10.fs	68950	69141	192	155	90	103.42	3.63	2.20
chr10.fs	73129	73429	301	249	154	188.53	3.77	1.86
chr10.fs	73835	74010	176	51	87	83.78	3.17	2.44
chr10.fs	74158	74383	226	121	138	76.64	2.58	2.46
chr10.fs	100763	102396	1634	1257	1645	2930.09	4.87	0.00
chr10.fs	113139	113507	369	177	263	408.45	4.32	1.79
chr10.fs	115423	115952	530	486	623	2470.53	8.31	0.00
chr10.fs	115985	116273	289	32	190	320.45	4.67	1.51
chr10.fs	120491	120789	299	188	211	122.48	2.84	2.45
chr10.fs	121067	121475	409	341	273	76.48	2.41	2.44
chr10.fs	123083	123640	558	155	365	462.36	4.10	1.28
chr10.fs	123814	124647	834	719	469	226.76	2.75	1.86
chr10.fs	124990	126138	1149	628	723	696.10	3.82	0.86
chr10.fs	126140	127098	959	428	924	2848.81	8.50	0.00
chr10.fs	136279	136503	225	106	108	57.17	2.68	2.27
chr10.fs	139389	140005	617	204	365	139.07	2.52	2.19
chr10.fs	160046	160293	248	113	150	214.38	4.40	1.80
chr10.fs	173506	173774	269	160	143	96.63	2.49	2.26
chr10.fs	181800	182186	387	202	241	238.19	3.52	1.94
chr10.fs	195410	195669	260	157	134	158.49	4.34	2.04
chr10.fs	197074	197329	256	199	220	670.36	6.70	0.84
chr10.fs	197357	197568	212	124	270	1244.84	9.80	0.81
chr10.fs	204553	204751	199	163	98	97.60	3.70	2.16
chr10.fs	218694	218807	114	55	51	50.00	3.33	2.37
chr10.fs	219798	220561	764	382	589	1310.42	5.28	0.00
chr10.fs	223974	224181	208	64	111	155.88	4.15	2.02
chr10.fs	225442	225623	182	63	86	101.67	3.64	2.19
chr10.fs	227771	228237	467	218	278	230.06	3.24	1.88
chr10.fs	233819	233970	152	104	83	63.75	3.14	2.45
chr10.fs	279694	279959	266	220	130	87.41	3.05	2.37
chr10.fs	286868	287194	327	200	165	191.78	3.71	1.88
chr10.fs	293641	294577	937	459	799	1161.59	4.82	0.75
chr10.fs	299232	299314	83	51	36	50.68	3.74	2.39
chr10.fs	321297	321479	183	62	92	151.05	4.79	1.98
chr10.fs	348835	349174	340	212	228	452.52	4.94	1.59
chr10.fs	354116	354259	144	110	89	204.53	5.24	1.95
chr10.fs	355273	355378	106	81	62	136.52	6.15	2.31
chr10.fs	355513	355596	84	22	40	61.75	4.21	2.39
chr10.fs	374574	374697	124	31	71	144.85	5.01	2.08
chr10.fs	391084	391252	169	31	89	103.54	3.30	2.21
chr10.fs	396637	396729	93	64	42	65.61	4.33	2.48
chr10.fs	422842	422955	114	53	60	82.78	3.96	2.42
chr10.fs	424491	424609	119	38	66	65.79	3.30	2.49
chr10.fs	465545	466124	580	272	418	418.75	4.15	1.85
chr10.fs	508816	509078	263	126	165	335.15	4.64	1.60
chr10.fs	516058	516188	131	26	58	57.99	3.71	2.29
chr10.fs	517862	517975	114	56	58	89.49	3.93	2.17
chr10.fs	529783	530125	343	131	237	506.90	5.86	1.39
chr10.fs	531681	531844	164	128	105	89.13	3.33	2.29
chr10.fs	531880	532052	173	58	92	83.65	3.41	2.43
chr10.fs	535677	536034	358	196	281	769.62	6.49	0.97
chr10.fs	538463	538674	212	78	110	55.10	2.30	2.32
chr10.fs	541411	541516	106	71	59	76.40	3.27	2.44
chr10.fs	541567	541741	175	54	101	155.04	4.67	2.01
chr10.fs	542850	542962	113	59	57	88.66	3.98	2.28
chr10.fs	543010	543109	100	22	53	89.74	4.72	2.18
chr10.fs	571807	572318	512	260	467	984.57	5.66	0.62
chr10.fs	604193	604467	275	133	145	186.08	3.96	2.02
chr10.fs	611425	611589	165	131	82	64.81	2.69	2.46
chr10.fs	617822	617935	114	66	63	59.70	3.31	2.34
chr10.fs	620989	621354	366	141	198	105.95	2.71	2.24
chr10.fs	641985	642304	320	136	214	330.13	4.06	1.58
chr10.fs	652104	652369	266	215	140	56.98	2.39	2.26
chr10.fs	664012	664260	249	128	168	143.89	3.14	2.23
chr10.fs	703438	703748	311	79	160	61.61	2.35	2.39
chr10.fs	704579	705175	597	313	476	757.32	5.42	0.95
chr10.fs	716869	717120	252	162	119	106.91	2.77	2.25
chr10.fs	724009	724685	677	413	673	2217.33	8.32	0.00
chr11.fs	7681	8121	441	309	403	1319.07	7.63	0.00
chr11.fs	8672	8788	117	57	54	84.03	4.79	2.44
chr11.fs	45704	45797	94	28	44	54.08	3.10	2.29
chr11.fs	46243	46557	315	91	177	147.91	3.17	2.11
chr11.fs	46691	46911	221	41	102	123.69	3.55	2.46
chr11.fs	67880	68080	201	133	107	94.64	3.02	2.23
chr11.fs	74533	74653	121	83	63	53.87	3.19	2.29
chr11.fs	74684	74787	104	38	50	58.01	3.06	2.29
chr11.fs	84018	84239	222	157	157	315.26	4.87	1.49
chr11.fs	84273	85192	920	241	824	2061.56	6.77	0.00
chr11.fs	99693	99957	265	133	157	103.95	2.57	2.21
chr11.fs	109566	109675	110	59	48	59.65	4.43	2.34
chr11.fs	119994	120376	383	224	259	510.30	5.28	1.39
chr11.fs	140907	141045	139	83	72	127.61	4.04	2.37
chr11.fs	141986	142228	243	186	109	57.10	2.35	2.26
chr11.fs	146955	147126	172	52	83	67.43	3.13	2.43
chr11.fs	162408	162505	98	61	50	76.64	4.26	2.45
chr11.fs	163394	164008	615	381	374	113.98	2.32	2.35
chr11.fs	164029	164325	297	62	164	52.43	2.04	2.33
chr11.fs	200376	202313	1938	1452	1838	2251.94	3.77	0.00
chr11.fs	202600	202665	66	31	71	232.23	7.66	1.90
chr11.fs	202697	203148	452	142	562	1820.43	6.56	0.00
chr11.fs	219321	219564	244	169	134	159.84	3.55	1.88
chr11.fs	219599	219731	133	24	65	64.85	3.28	2.46
chr11.fs	230850	231209	360	295	212	354.68	4.26	1.67
chr11.fs	245204	245632	429	290	308	659.13	5.28	1.24
chr11.fs	245809	246153	345	180	170	75.41	2.84	2.51
chr11.fs	258047	259187	1141	590	1229	3100.00	7.45	0.00
chr11.fs	260039	260199	161	80	82	124.86	3.57	2.49
chr11.fs	307670	307783	114	61	53	62.93	3.32	2.42
chr11.fs	322114	322346	233	124	115	132.00	3.52	2.25
chr11.fs	326574	327021	448	240	256	55.29	1.97	2.32
chr11.fs	355019	355400	382	223	216	240.91	3.75	1.94
chr11.fs	355462	356095	634	368	418	756.07	5.05	0.95
chr11.fs	357707	357977	271	149	182	390.53	6.07	1.74
chr11.fs	378852	379344	493	379	627	2020.48	6.52	0.00
chr11.fs	379372	379568	197	29	145	179.55	4.74	1.97
chr11.fs	385252	385874	623	289	600	1287.45	5.86	0.85
chr11.fs	396429	396859	431	255	372	747.06	5.12	0.93
chr11.fs	398398	398753	356	195	221	476.73	7.98	1.33
chr11.fs	434839	434967	129	64	61	75.98	3.78	2.42
chr11.fs	437273	437487	215	55	107	62.89	3.07	2.42
chr11.fs	458106	458205	100	80	49	85.44	3.88	2.35
chr11.fs	463021	463947	927	488	950	2330.51	5.92	0.00
chr11.fs	471088	471539	452	231	340	945.23	6.61	0.60
chr11.fs	486103	486451	349	197	229	286.37	4.35	1.40
chr11.fs	490672	490775	104	59	47	72.08	4.10	2.53
chr11.fs	506477	506779	303	63	169	186.86	3.70	2.03
chr11.fs	513027	513128	102	45	50	65.16	3.67	2.47
chr11.fs	513850	513992	143	93	67	58.65	3.34	2.32
chr11.fs	516677	517121	445	335	562	2450.16	8.83	0.00
chr11.fs	517401	517651	251	206	222	526.24	5.79	1.06
chr11.fs	517688	518983	1296	836	1259	1891.39	4.93	0.00
chr11.fs	519164	520230	1067	481	794	211.09	2.51	1.99
chr11.fs	558467	558656	190	169	84	61.26	3.05	2.38
chr11.fs	560382	560852	471	309	362	992.23	6.21	0.63
chr11.fs	578693	578793	101	22	56	86.01	3.69	2.35
chr11.fs	610699	610798	100	34	45	54.01	3.20	2.29
chr11.fs	613884	614846	963	314	773	1150.32	5.69	0.74
chr11.fs	618407	618518	112	55	49	52.89	2.96	2.35
chr11.fs	645132	645243	112	79	53	75.49	3.59	2.51
chr11.fs	648882	649421	540	369	416	893.90	4.75	0.56
chr11.fs	664884	665168	285	218	189	473.91	6.38	1.32
chr11.fs	665232	665321	90	36	40	53.40	3.38	2.37
chr12.fs	49414	49810	397	211	227	315.32	4.37	1.49
chr12.fs	65552	65670	119	34	53	56.61	2.79	2.34
chr12.fs	66203	66720	518	234	435	835.58	5.12	0.53
chr12.fs	86934	87046	113	55	50	71.21	4.04	2.50
chr12.fs	92431	92568	138	109	69	78.72	3.46	2.49
chr12.fs	95557	95846	290	148	160	73.93	2.51	2.47
chr12.fs	97163	97426	264	25	145	51.75	2.49	2.40
chr12.fs	97629	97815	187	71	83	75.75	2.91	2.52
chr12.fs	160791	161166	376	202	244	563.71	5.70	1.11
chr12.fs	167833	167954	122	103	60	98.12	4.10	2.16
chr12.fs	168002	168515	514	302	517	1736.02	7.36	0.00
chr12.fs	197036	197496	461	237	241	71.64	2.40	2.51
chr12.fs	198722	199652	931	440	592	201.05	2.59	1.93
chr12.fs	202002	202282	281	148	165	96.00	2.76	2.25
chr12.fs	206617	206755	139	57	70	82.11	3.30	2.41
chr12.fs	214930	215029	100	32	45	65.13	3.88	2.47
chr12.fs	230600	230862	263	130	153	119.26	2.92	2.40
chr12.fs	230936	231188	253	170	135	180.97	3.88	1.98
chr12.fs	232267	233697	1431	840	1045	650.90	2.88	1.22
chr12.fs	233710	234105	396	48	278	71.45	2.16	2.51
chr12.fs	234574	235180	607	327	530	825.58	4.49	0.52
chr12.fs	247888	248273	386	181	284	616.02	6.50	1.18
chr12.fs	253239	253559	321	253	173	100.00	2.64	2.18
chr12.fs	271749	272078	330	162	244	333.78	3.71	1.60
chr12.fs	281788	282000	213	132	137	234.99	4.95	1.91
chr12.fs	282971	283529	559	397	371	271.23	2.82	1.60
chr12.fs	320589	320918	330	216	196	307.33	4.61	1.46
chr12.fs	329388	329704	317	121	168	179.46	3.88	1.97
chr12.fs	340940	341189	250	146	124	71.88	2.82	2.52
chr12.fs	342982	343946	965	285	908	2196.49	6.60	0.00
chr12.fs	348161	348302	142	55	67	68.93	3.19	2.46
chr12.fs	366159	366397	239	128	147	88.85	3.00	2.28
chr12.fs	368944	369478	535	214	340	205.30	3.00	1.95
chr12.fs	369483	370255	773	434	603	141.47	2.41	2.20
chr12.fs	370372	371077	706	242	614	1144.13	5.17	0.73
chr12.fs	373585	374027	443	407	334	728.57	6.68	0.90
chr12.fs	374204	374298	95	30	92	341.19	7.75	1.62
chr12.fs	374306	374375	70	39	60	185.35	7.18	2.01
chr12.fs	374416	374594	179	126	107	76.36	2.48	2.43
chr12.fs	384891	385004	114	53	52	74.84	4.18	2.49
chr12.fs	387300	388260	961	166	532	340.33	2.73	1.61
chr12.fs	388279	388678	400	206	345	593.47	5.05	1.15
chr12.fs	407648	407994	347	202	215	429.18	5.36	1.87
chr12.fs	415329	415703	375	233	244	454.21	5.86	1.60
chr12.fs	424121	424407	287	211	167	70.72	2.29	2.49
chr12.fs	427195	427294	100	49	47	54.19	3.58	2.30
chr12.fs	434155	434399	245	65	115	107.25	3.03	2.25
chr12.fs	448301	448678	378	196	321	720.53	4.60	0.89
chr12.fs	448706	448801	96	35	49	60.25	3.52	2.36
chr12.fs	449601	449725	125	66	54	72.64	3.59	2.54
chr12.fs	489452	489628	177	22	99	50.99	2.37	2.39
chr12.fs	494472	494754	283	133	154	134.44	3.42	2.27
chr12.fs	522226	522495	270	116	173	238.01	4.29	1.93
chr12.fs	523103	523387	285	97	189	347.02	4.73	1.64
chr12.fs	569388	569624	237	59	109	159.30	3.88	2.05
chr12.fs	573174	573722	549	218	515	1403.06	7.05	0.00
chr12.fs	603026	603162	137	73	66	57.81	3.02	2.28
chr12.fs	603688	603980	293	112	189	186.72	3.19	2.02
chr12.fs	605196	605345	150	98	81	109.02	3.70	2.28
chr12.fs	637012	637604	593	375	331	151.71	2.67	1.98
chr12.fs	637820	638129	310	145	159	57.66	2.45	2.28
chr12.fs	645862	646161	300	200	142	135.35	3.26	2.28
chr12.fs	649864	650073	210	131	110	101.98	3.13	2.20
chr12.fs	651116	651179	64	33	53	176.58	7.88	1.95
chr12.fs	656762	656963	202	140	174	571.63	6.61	1.12
chr12.fs	656984	657928	945	100	895	2469.41	8.05	0.00
chr12.fs	677170	677336	167	109	87	112.15	3.77	2.33
chr12.fs	687772	687876	105	54	55	104.72	4.33	2.22
chr12.fs	687919	688014	96	22	47	63.72	3.65	2.44
chr12.fs	688260	688476	217	108	139	325.88	5.47	1.55
chr12.fs	693425	693727	303	31	153	223.41	3.52	1.84
chr12.fs	693730	694298	569	249	393	1032.89	7.07	0.65
chr12.fs	708447	710038	1592	1319	966	468.48	2.85	1.31
chr12.fs	710460	710905	446	126	301	491.79	5.06	1.36
chr12.fs	713067	713274	208	51	108	169.90	4.17	1.92
chr12.fs	728127	728758	632	357	639	1459.24	5.42	0.00
chr12.fs	729193	730230	1038	260	593	415.09	2.99	1.82
chr12.fs	732003	732101	99	71	53	91.79	4.52	2.20
chr12.fs	734695	734824	130	60	74	122.21	4.31	2.45
chr12.fs	757135	757393	259	117	168	391.59	5.47	1.75
chr12.fs	784242	784377	136	98	72	74.01	3.18	2.47
chr12.fs	784433	784558	126	24	72	97.00	3.55	2.27
chr12.fs	789774	790604	831	381	813	2523.32	7.85	0.00
chr12.fs	790984	791431	448	362	230	150.71	3.17	1.98
chr12.fs	793213	793942	730	432	925	2461.77	5.41	0.00
chr12.fs	793969	794162	194	64	107	157.89	3.98	2.03
chr12.fs	794172	794589	418	299	249	374.34	4.78	1.70
chr12.fs	794596	794722	127	62	62	73.52	3.39	2.57
chr12.fs	797071	797196	126	61	73	72.21	3.25	2.53
chr12.fs	797229	797338	110	38	65	84.63	3.69	2.45
chr12.fs	809204	809554	351	207	223	422.59	4.45	1.86
chr12.fs	818518	818766	249	162	150	119.95	2.84	2.43
chr12.fs	838110	839253	1144	533	791	671.73	3.39	0.85
chr12.fs	839290	839706	417	253	229	229.02	3.96	1.87
chr12.fs	877768	878340	573	295	521	1278.31	7.39	0.85
chr12.fs	928667	929157	491	257	310	597.96	4.55	1.15
chr12.fs	954177	954940	764	180	447	448.77	3.42	1.59
chr12.fs	958421	958784	364	212	232	523.80	5.93	1.06
chr12.fs	1004528	1004659	132	79	62	76.00	3.59	2.42
chr12.fs	1029201	1029517	317	164	181	55.80	2.20	2.33
chr12.fs	1038866	1038993	128	59	61	54.92	2.89	2.31
chr12.fs	1039054	1039197	144	93	63	68.77	3.93	2.45
chr12.fs	1039521	1039808	288	63	141	104.63	2.88	2.22
chr12.fs	1040165	1041022	858	338	528	488.09	3.23	1.35
chr12.fs	1041243	1041875	633	227	474	574.26	4.60	1.12
chr12.fs	1043408	1043893	486	198	477	1748.14	8.66	0.00
chr12.fs	1055042	1055285	244	189	114	199.50	3.88	1.92
chr13.fs	5514	5561	48	24	26	58.79	5.01	2.32
chr13.fs	13560	13651	92	25	41	51.91	3.08	2.32
chr13.fs	118690	119058	369	199	224	468.15	6.15	1.30
chr13.fs	131751	131838	88	61	39	59.80	3.88	2.35
chr13.fs	131880	131986	107	43	55	92.97	5.01	2.21
chr13.fs	159160	159410	251	58	124	147.68	3.39	2.11
chr13.fs	163733	163963	231	160	137	284.34	5.01	1.40
chr13.fs	180068	180241	174	151	81	90.70	3.45	2.18
chr13.fs	180266	180625	360	203	195	198.63	3.41	1.91
chr13.fs	180651	181815	1165	670	1067	2792.61	7.23	0.00
chr13.fs	183719	183925	207	147	180	596.51	7.75	1.15
chr13.fs	183945	184147	203	81	150	234.59	4.59	1.91
chr13.fs	190264	190457	194	65	86	118.92	3.89	2.39
chr13.fs	193948	194468	521	223	494	1125.89	5.74	0.72
chr13.fs	196000	196088	89	57	38	54.84	5.01	2.31
chr13.fs	196149	196346	198	45	110	154.74	3.61	2.01
chr13.fs	245861	246322	462	179	309	530.54	4.72	1.07
chr13.fs	253295	253611	317	243	196	246.74	4.12	1.97
chr13.fs	259222	259365	144	71	85	109.41	3.55	2.29
chr13.fs	259734	260129	396	232	300	658.04	5.84	1.23
chr13.fs	260282	260548	267	81	143	235.06	4.13	1.91
chr13.fs	288291	288802	512	453	302	341.29	3.79	1.62
chr13.fs	297668	297832	165	50	80	68.70	3.06	2.45
chr13.fs	298021	298229	209	91	117	174.97	3.91	1.94
chr13.fs	302666	302998	333	210	244	345.41	3.67	1.64
chr13.fs	306142	306915	774	565	603	658.20	4.05	1.24
chr13.fs	309598	309936	339	219	163	286.38	5.47	1.41
chr13.fs	318291	318538	248	113	131	94.65	2.87	2.23
chr13.fs	320982	321165	184	49	82	128.80	3.96	2.37
chr13.fs	321202	321296	95	31	40	50.43	3.24	2.38
chr13.fs	321780	322077	298	72	181	330.47	5.09	1.59
chr13.fs	352183	352302	120	53	63	59.70	2.85	2.34
chr13.fs	352524	352726	203	41	98	84.03	2.41	2.44
chr13.fs	362939	363087	149	48	86	68.00	3.01	2.44
chr13.fs	372306	372465	160	123	91	150.31	4.17	1.97
chr13.fs	372497	372588	92	34	44	64.57	4.32	2.45
chr13.fs	379387	379497	111	48	52	74.15	4.26	2.48
chr13.fs	388155	388594	440	105	263	206.73	2.91	1.97
chr13.fs	399190	400425	1236	634	1237	3100.00	8.28	0.00
chr13.fs	408357	408764	408	251	220	162.41	2.97	1.89
chr13.fs	410283	410756	474	265	345	709.75	6.01	0.88
chr13.fs	420417	420601	185	163	93	70.68	2.88	2.49
chr13.fs	433611	433885	275	212	172	280.17	4.65	1.38
chr13.fs	462903	463216	314	212	241	691.39	6.61	0.86
chr13.fs	463411	463569	159	63	102	199.73	4.34	1.92
chr13.fs	463605	463763	159	94	93	187.54	4.70	2.03
chr13.fs	471734	472041	308	212	172	310.03	4.92	1.46
chr13.fs	481979	482325	347	158	227	464.45	5.13	1.29
